Table	Section	Functionalities	Package	Reference	Repo
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	MS data handling	Parser for common file formats: mzXML, mzData, mzML and netCDF. Usually not used directly by the end user, but provides functions to read raw data for other packages.	mzR	[21]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	MS data handling	Infrastructure to manipulate, process and visualise MS and proteomics data, ranging from raw to quantitative and annotated data.	MSnbase	[30]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	MS data handling	Export and import of processed metabolomics MS results to and from the mzTab-M for metabolomics data format.	rmzTab-M	[29]	GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	MS data handling	Converts MRM-MS (.mzML) files to LC-MS style .mzML.	MRMConverteR		GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	MS data handling	Infrastructure for import, handling, representation and analysis of chromatographic MS data.	Chromatograms		GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	MS data handling	Infrastructure for import, handling, representation and analysis of MS spectra.	Spectra		GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Peak picking, grouping and alignment (LC-MS focussed or general)	Pre-processing and visualization for (LC/GC-)MS data. Includes visualization and simple statistics.	xcms	[24, 25]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Peak picking, grouping and alignment (LC-MS focussed or general)	Automatic optimization of XCMS parameters based on isotopes.	IPO	[31]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Peak picking, grouping and alignment (LC-MS focussed or general)	Parameter tuning algorithm forXCMS, MZmine2, and other metabolomics data processingsoftware.	Autotuner		BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Peak picking, grouping and alignment (LC-MS focussed or general)	Pre-processing and visualization for (LC/GC-)MS data. Includes visualization and simple statistics.	yamss	[32]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Peak picking, grouping and alignment (LC-MS focussed or general)	Peak picking with XCMS and apLCMS, low intensity peak detection via replicate analyses. Multi-parameter feature extraction and data merging, sample quality and feature consistency evaluation. Annotation with METLIN and KEGG.	xMSanalyzer	[33]	SF
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Peak picking, grouping and alignment (LC-MS focussed or general)	Pre-processing and alignment of LC-MS data without assuming a parametric peak shape model allowing maximum flexibility. It utilizes the knowledge of known metabolites, as well as robust machine learning.	apLCMS	[34]	SF
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Peak picking, grouping and alignment (LC-MS focussed or general)	Peak detection using chromatogram subregion detection, consensus integration bound determination and Accurate missing value integration. Outputs in XCMS-compatible format.	warpgroup	[35]	GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Peak picking, grouping and alignment (LC-MS focussed or general)	Peak picking for (LC/GC-)MS data, improving the detection of low abundance signals via a master map of m/z/RT space before peak detection. Results are XCMS-compatible.	cosmiq		BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Peak picking, grouping and alignment (LC-MS focussed or general)	m/z detection (i.e. peak-picking) for accurate mass data, collecting all data points above an intensity threshold, grouping them by m/z values and estimating representative m/z values for the clusters; extracting EICs.	AMDORAP	[36]	SF
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Peak picking, grouping and alignment (LC-MS focussed or general)	(GC/LC)-MS data analysis for environmental science, including raw data processing, analysis of molecular isotope ratios, matrix effects, and short-chain chlorinated paraffins.	enviGCMS	[37]	CRAN
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Peak picking, grouping and alignment (LC-MS focussed or general)	Sequential partitioning, clustering and peak detection of centroided LC-MS mass spectrometry data (.mzXML), with Interactive result and raw data plot.	enviPick		CRAN
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Peak picking, grouping and alignment (LC-MS focussed or general)	PeakpickingwithXCMS. Groups chemically related features beforealignmentacross samples. Additional processing after alignment includes feature validation, re-integration and annotation based on custom database.	massFlowR		GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Isotope labeling using MS	Analysis of untargeted LC/MS data from stable isotope-labeling experiments. Also uses XCMS for feature detection.	geoRge	[38]	GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Isotope labeling using MS	Correction of MS and MS/MS data from stable isotope labeling (any tracer isotope) experiments for natural isotope abundance and tracer impurity. Separate GUI available in IsoCorrectoRGUI.	IsoCorrectoR	[39]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Isotope labeling using MS	Extension of XCMS that provides support for isotopic labeling. Detection of metabolites that have been enriched with isotopic labeling.	X13CMS	[40]	
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Isotope labeling using MS	Analysis of isotopic patterns in isotopically-labeled MS data. Estimates the isotopic abundance of the stable isotope (either 2H or 13C) within specified compounds.	IsotopicLabelling	[41]	GitHub
